acquisition_order,variant,fit_quality_pass,lambda_relative_change_percent,potential_relative_change_percent
15,common_80_250nm,False,-14.12807511291394,-64.73147976799638
15,no_slip_hydrodynamic,False,-4.389530514510986,0.008412810889413258
16,constant_baseline,True,310.87305480115754,-77.34005935715302
16,lower_plus_10nm,False,14.135558041906048,-40.54485909634581
16,upper_200nm,False,9.49235251517564,-24.5123818426212
16,common_80_250nm,False,14.135558041906048,-40.54485909634581
16,no_slip_hydrodynamic,False,-14.776703134087843,158.452564171713
17,constant_baseline,False,122.26561797394288,0.7890711365835079
17,lower_plus_10nm,False,8.085542787059996,-9.143860147715932
17,upper_200nm,False,4.598378440537321,-4.127517264834546
17,common_80_250nm,False,0.0,0.0
17,no_slip_hydrodynamic,False,-24.243163853713224,24.75615387236727
18,constant_baseline,False,119.02608483101078,5.028039110284865
18,lower_plus_10nm,False,733.9124984431947,-6.21535250820221
18,upper_200nm,False,-41.53312264493898,168.59009545495076
18,common_80_250nm,False,0.0,0.0
18,no_slip_hydrodynamic,False,-60.71264929971889,1325.9855652324018
19,constant_baseline,True,11.711246022258992,-6.392879976310361
19,lower_plus_10nm,True,8.254646674503974,-9.271769079813607
19,upper_200nm,True,-0.7220792667693376,0.41948377747991206
19,common_80_250nm,False,95.33387195114267,-63.82241822582289
19,no_slip_hydrodynamic,True,-2.934763242326177,0.14611621637494743
20,constant_baseline,True,11.328915323311728,-2.430822057900217
20,lower_plus_10nm,True,1.9443171475698184,-2.593259333033504
20,upper_200nm,True,1.0598250653855112,-0.47521787581645825
20,common_80_250nm,False,-29.454299552841423,410.8193083002539
20,no_slip_hydrodynamic,True,-1.403955236513399,-0.02045141137461126
21,constant_baseline,True,14.804343022660627,-8.005772561269742
21,lower_plus_10nm,True,6.760883044604449,-7.725485524703113
21,upper_200nm,True,0.5798737822686473,-0.30335306104387616
21,common_80_250nm,False,-17.333305497829667,397.9857492775973
21,no_slip_hydrodynamic,True,-5.21815510758914,-0.10585622519370119
22,constant_baseline,True,17.759906629623814,-10.01991754844912
22,lower_plus_10nm,True,9.741300588733214,-9.47016301746828
22,upper_200nm,True,-0.2898492275765663,0.06333802695246415
22,common_80_250nm,False,38.18677037404514,-31.531127809340386
22,no_slip_hydrodynamic,True,-4.472144249933107,-1.0083059346529866
23,constant_baseline,True,12.877997700263055,-5.49871218561978
23,lower_plus_10nm,True,5.098960599216373,-6.331146979666668
23,upper_200nm,True,0.6526283596770543,-0.38233889786839503
23,common_80_250nm,False,10.805727853274849,-7.852441603871629
23,no_slip_hydrodynamic,True,-1.2876011578525914,-0.04022163900591069
24,constant_baseline,True,15.585900038974842,-8.13048261868039
24,lower_plus_10nm,True,4.283317123162278,-4.04358456469065
24,upper_200nm,True,0.44821051081500585,-0.14644429140689974
24,common_80_250nm,False,-26.10991978469739,381.5158666300337
24,no_slip_hydrodynamic,True,-2.025830015763541,-0.5326064178486134
25,constant_baseline,True,2.1610962311713333,-0.23026727264566782
25,lower_plus_10nm,False,11.106258305037153,-10.057090240067001
25,upper_200nm,True,-1.6573392569441125e-05,-0.0044492559674425
25,common_80_250nm,False,72.81227796443908,-60.36547461112214
25,no_slip_hydrodynamic,True,-1.2717729657886756,-0.21645328175434742
26,constant_baseline,True,12.275875818545568,-3.3124612340375115
26,lower_plus_10nm,True,7.061130853043696,-7.654957644622962
26,upper_200nm,True,0.18465534862337485,-0.07318297506284654
26,common_80_250nm,False,50.374387233784205,-48.789145203319165
26,no_slip_hydrodynamic,True,-5.470938818825733,-0.10335690224619887
27,constant_baseline,True,13.39099034467084,-6.174517636989241
27,lower_plus_10nm,True,4.458015602728449,-4.95872948692605
27,upper_200nm,True,0.43070255302917193,-0.1059416400023383
27,common_80_250nm,False,-17.41780096657134,378.16011524708034
27,no_slip_hydrodynamic,True,-2.461664118587281,-0.20761425828068614
