acquisition_order,point_index,gap_speed_um_per_s,far_distance_min_nm,far_distance_max_nm,far_sample_count,hydro_far_line_slope_pN_per_nm,hydro_far_line_intercept_pN,hydro_after_far_line_at_80nm_pN
2,5,0.9977466888898859,686.0234785455322,885.3234757391518,200,-0.0005601786547797183,0.8783106062145729,3.446288036202362
2,6,0.9973856379691144,666.930344391803,861.0163109554692,196,-0.0005915238847104451,0.9024210662676221,3.423003327397856
2,7,0.9985142996623319,686.2177143780139,885.2650984331092,200,-0.0005605832812464695,0.8789657850485698,3.448983021656513
2,8,0.9991687015545078,685.4615965666732,884.4985036719664,200,-0.0005619839736377772,0.8803544033408648,3.4506776166878463
2,9,0.9980183132960588,687.9030196106191,887.2689674535663,200,-0.000557716982008857,0.8764874924335787,3.4496613690160935
2,10,0.9990163047023014,686.7504536479138,885.8614745590664,200,-0.000560007590359959,0.8787316725790928,3.451706406570631
2,11,0.9960897283634219,685.8910851579541,885.1252112593186,200,-0.0005593925864950197,0.876966192702129,3.4404010264303904
2,12,0.9986001582290498,687.4811227577384,886.6983541868683,200,-0.0005585833805281971,0.8774262063925695,3.451163604059055
2,13,0.9964214206282656,684.8078905727572,883.979478277088,200,-0.0005612463317965266,0.8785714668639559,3.440265279936601
2,14,0.9949624177083124,685.3156473239127,884.6231258688389,200,-0.0005595927017782745,0.8766299735915506,3.4356896121759513
2,15,1.0012995223998702,686.8531468786435,886.4141675410829,200,-0.0005612183396825626,0.8806805457772546,3.4599694155196987
2,16,0.9955761823068896,687.1055928529636,886.2571100097374,200,-0.0005577930645814102,0.8754799347131166,3.439789868999511
2,17,0.9986738019948616,686.3869850129007,884.5944428627648,200,-0.0005602245823066102,0.8787527092723912,3.450558573770823
2,18,0.9986878596464925,686.0339577380869,883.9698112529522,200,-0.000560749455496789,0.8791741207309941,3.449510389543965
2,19,1.0014882656379527,687.3238422433425,885.4126859546334,200,-0.000560463289009021,0.8801710995390757,3.4615279363073874
2,20,0.9938958123999407,682.9968511260951,880.9892724811856,200,-0.0005623927950026793,0.8783631950030281,3.429369478948141
2,21,0.9922763358469646,685.2571007497239,883.2093139866296,200,-0.0005584773281129546,0.8745742206429882,3.4263654684259004
2,22,0.9954424630884948,680.3375450501962,877.6791676665111,200,-0.0005674424591405304,0.8830014006846301,3.431608664292001
