block,nominal_speed_um_per_s,actual_gap_speed_um_per_s,metric,metric_label,unit,early_value,late_value,pair_symmetric_value,pair_history_half_difference,early_source,late_source
2,0.1,0.09608325613818748,terminal_load_median_nN,terminal load,nN,21.798067951805876,21.78340114772925,21.790734549767564,-0.007333402038312897,27-08-26/0/map2-0.1-data-2026.08.27-14.58.45.160.jpk-force-map,27-08-26/0/map2-0.1-data-2026.08.27-15.36.15.070.jpk-force-map
2,0.1,0.09608325613818748,far_slope_median_pN_per_100nm,far slope,pN/100 nm,-5.978875690284648,-10.54962612071102,-8.264250905497834,-2.285375215213186,27-08-26/0/map2-0.1-data-2026.08.27-14.58.45.160.jpk-force-map,27-08-26/0/map2-0.1-data-2026.08.27-15.36.15.070.jpk-force-map
2,0.1,0.09608325613818748,contact_height_median_um,contact height,um,13.200341738556126,13.290447395012162,13.245394566784144,0.045052828228017816,27-08-26/0/map2-0.1-data-2026.08.27-14.58.45.160.jpk-force-map,27-08-26/0/map2-0.1-data-2026.08.27-15.36.15.070.jpk-force-map
2,0.1,0.09608325613818748,approach_snap_detected_fraction,approach snap-detected fraction,fraction,0.359375,0.140625,0.25,-0.109375,27-08-26/0/map2-0.1-data-2026.08.27-14.58.45.160.jpk-force-map,27-08-26/0/map2-0.1-data-2026.08.27-15.36.15.070.jpk-force-map
2,0.1,0.09608325613818748,approach_snap_distance_median_nm,approach snap distance,nm,5.0845029976430975,79.754401262718,42.41945213018055,37.33494913253745,27-08-26/0/map2-0.1-data-2026.08.27-14.58.45.160.jpk-force-map,27-08-26/0/map2-0.1-data-2026.08.27-15.36.15.070.jpk-force-map
2,0.1,0.09608325613818748,retract_detachment_piezo_travel_median_nm,retract detachment travel,nm,93.10123424870838,88.37314571217955,90.73718998044396,-2.364044268264415,27-08-26/0/map2-0.1-data-2026.08.27-14.58.45.160.jpk-force-map,27-08-26/0/map2-0.1-data-2026.08.27-15.36.15.070.jpk-force-map
2,0.1,0.09608325613818748,retract_pull_off_force_median_nN,retract pull-off,nN,-0.86226421672146,-0.5559693343854868,-0.7091167755534734,0.15314744116798662,27-08-26/0/map2-0.1-data-2026.08.27-14.58.45.160.jpk-force-map,27-08-26/0/map2-0.1-data-2026.08.27-15.36.15.070.jpk-force-map
2,0.1,0.09608325613818748,branch_contact_height_difference_median_nm,approach-retract contact-height difference,nm,1.0625446280736082,0.6763700912105106,0.8694573596420594,-0.19308726843154878,27-08-26/0/map2-0.1-data-2026.08.27-14.58.45.160.jpk-force-map,27-08-26/0/map2-0.1-data-2026.08.27-15.36.15.070.jpk-force-map
2,0.2,0.19087118195358638,map_contact_invOLS_median_nm_per_V,InvOLS,nm/V,54.57903408884764,54.61278199599605,54.59590804242185,0.016873953574204847,27-08-26/0/map2-0.2-data-2026.08.27-15.16.41.656.jpk-force-map,27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map
2,0.2,0.19087118195358638,terminal_load_median_nN,terminal load,nN,21.77648284437437,21.776999232029745,21.776741038202058,0.00025819382768688115,27-08-26/0/map2-0.2-data-2026.08.27-15.16.41.656.jpk-force-map,27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map
