source,timestamp,acquisition_order,block,nominal_speed_um_per_s,physical_row_zero_based,physical_column_zero_based,point_index_in_archive,distance_nm,force_linear_drift_corrected_pN
27-08-26/0/map5-0.1-data-2026.08.27-17.31.45.428.jpk-force-map,2026-08-27T17:31:45.428000,25,5,0.1,3,3,28,100.0,-1.4826012376626605
27-08-26/0/map5-0.1-data-2026.08.27-17.31.45.428.jpk-force-map,2026-08-27T17:31:45.428000,25,5,0.1,3,3,28,200.0,0.4631994727885796
27-08-26/0/map5-0.05-data-2026.08.27-17.38.13.338.jpk-force-map,2026-08-27T17:38:13.338000,26,5,0.05,3,3,28,20.0,-1007.7803741552916
27-08-26/0/map5-0.05-data-2026.08.27-17.38.13.338.jpk-force-map,2026-08-27T17:38:13.338000,26,5,0.05,3,3,28,50.0,99.51254659845961
27-08-26/0/map5-0.05-data-2026.08.27-17.38.13.338.jpk-force-map,2026-08-27T17:38:13.338000,26,5,0.05,3,3,28,100.0,9.27517733075073
27-08-26/0/map5-0.05-data-2026.08.27-17.38.13.338.jpk-force-map,2026-08-27T17:38:13.338000,26,5,0.05,3,3,28,200.0,5.42116001621494
27-08-26/0/map5-0.2-data-2026.08.27-17.49.29.094.jpk-force-map,2026-08-27T17:49:29.094000,27,5,0.2,3,3,28,20.0,-894.2609250947793
27-08-26/0/map5-0.2-data-2026.08.27-17.49.29.094.jpk-force-map,2026-08-27T17:49:29.094000,27,5,0.2,3,3,28,50.0,51.5861966376722
27-08-26/0/map5-0.2-data-2026.08.27-17.49.29.094.jpk-force-map,2026-08-27T17:49:29.094000,27,5,0.2,3,3,28,100.0,11.781963530425275
27-08-26/0/map5-0.2-data-2026.08.27-17.49.29.094.jpk-force-map,2026-08-27T17:49:29.094000,27,5,0.2,3,3,28,200.0,5.543047480867517
27-08-26/0/map5-0.2-data-2026.08.27-17.53.38.834.jpk-force-map,2026-08-27T17:53:38.834000,28,5,0.2,3,3,28,20.0,-1517.793711322687
27-08-26/0/map5-0.2-data-2026.08.27-17.53.38.834.jpk-force-map,2026-08-27T17:53:38.834000,28,5,0.2,3,3,28,50.0,31.725094946122297
27-08-26/0/map5-0.2-data-2026.08.27-17.53.38.834.jpk-force-map,2026-08-27T17:53:38.834000,28,5,0.2,3,3,28,100.0,-2.1054008189893363
27-08-26/0/map5-0.2-data-2026.08.27-17.53.38.834.jpk-force-map,2026-08-27T17:53:38.834000,28,5,0.2,3,3,28,200.0,-1.5488411621033271
27-08-26/0/map5-0.05-data-2026.08.27-17.57.18.559.jpk-force-map,2026-08-27T17:57:18.559000,29,5,0.05,3,3,28,20.0,-1255.8563309428412
27-08-26/0/map5-0.05-data-2026.08.27-17.57.18.559.jpk-force-map,2026-08-27T17:57:18.559000,29,5,0.05,3,3,28,50.0,16.65221009880205
27-08-26/0/map5-0.05-data-2026.08.27-17.57.18.559.jpk-force-map,2026-08-27T17:57:18.559000,29,5,0.05,3,3,28,100.0,8.925235169179192
27-08-26/0/map5-0.05-data-2026.08.27-17.57.18.559.jpk-force-map,2026-08-27T17:57:18.559000,29,5,0.05,3,3,28,200.0,2.8422270514060086
