source,timestamp,block,nominal_speed_um_per_s,point_index,sensitivity_nm_per_V,sensitivity_40nm_nm_per_V,sensitivity_60nm_nm_per_V,contact_fit_R2,contact_points,valid_for_consensus
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,43,53.60479611560682,53.587688920250734,53.61091554779519,0.9999295191551314,501,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,44,53.5437648258918,53.57290473123636,53.6299598506454,0.9997444021133084,499,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,45,53.736214833110274,53.693760980700176,53.80753072457852,0.999804473519519,500,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,46,53.18082132072141,52.99044634575491,53.279302976251344,0.9999134869116073,502,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,47,55.27039961354004,55.19101625941509,55.291181672433076,0.9999208909098539,499,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,48,53.590767222132655,53.632148182440865,53.6577394155837,0.9998761657547296,500,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,49,53.45423797822709,53.38531851747429,53.42093046008479,0.999893382988519,501,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,50,53.8651477499818,53.8347295684401,53.93327367947939,0.9998554515638084,497,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,51,54.00555249856513,53.88528392179031,54.080274756781535,0.9998397870635064,500,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,52,53.74099058421175,53.6564928540186,53.69667296648127,0.9998481324169344,500,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,53,53.624747079858544,53.4661089727865,53.661291717955194,0.9998682566995724,500,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,54,53.814573284749486,53.7064841314494,53.9315596696403,0.9999035365132591,501,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,55,54.31266308601314,54.23166896532078,54.33680778458047,0.9998717832683727,500,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,56,53.540832051268836,53.499087198193685,53.610146670693666,0.9998810410988915,498,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,57,53.55454856203003,53.54932136924352,53.54210305462318,0.9998634045799504,500,True
