source,acquisition_order,block,nominal_speed_um_per_s,distance_nm,linear_drift_corrected_force_pN,far_constant_referenced_force_pN,linear_minus_constant_pN
27-08-26/0/map3-0.05-data-2026.08.27-15.48.41.060.jpk-force-map,13,3,0.05,50.0,647.5858992744534,655.7005930384066,-8.114693763953255
27-08-26/0/map3-0.05-data-2026.08.27-15.48.41.060.jpk-force-map,13,3,0.05,100.0,77.1145314721433,83.48521510283561,-6.370683630692312
27-08-26/0/map3-0.05-data-2026.08.27-15.48.41.060.jpk-force-map,13,3,0.05,200.0,1.0125946893208606,3.7183655160317777,-2.705770826710917
27-08-26/0/map3-0.2-data-2026.08.27-16.09.07.348.jpk-force-map,14,3,0.2,20.0,2516.8720739943237,2515.703662932607,1.168411061716597
27-08-26/0/map3-0.2-data-2026.08.27-16.09.07.348.jpk-force-map,14,3,0.2,50.0,610.0775195719534,605.6917849770261,4.385734594927271
27-08-26/0/map3-0.2-data-2026.08.27-16.09.07.348.jpk-force-map,14,3,0.2,100.0,69.70055032333649,66.11455520981372,3.5859951135227703
27-08-26/0/map3-0.2-data-2026.08.27-16.09.07.348.jpk-force-map,14,3,0.2,200.0,1.8329359769998366,-0.23301399323284974,2.0659499702326865
27-08-26/0/map3-0.1-data-2026.08.27-16.12.38.424.jpk-force-map,15,3,0.1,20.0,2576.6335495390394,2569.2697886593587,7.36376087968074
27-08-26/0/map3-0.1-data-2026.08.27-16.12.38.424.jpk-force-map,15,3,0.1,50.0,591.7140881284829,591.2284669744919,0.4856211539910191
27-08-26/0/map3-0.1-data-2026.08.27-16.12.38.424.jpk-force-map,15,3,0.1,100.0,63.47252441860219,61.283582914899895,2.1889415037022957
27-08-26/0/map3-0.1-data-2026.08.27-16.12.38.424.jpk-force-map,15,3,0.1,200.0,2.5854533548902383,0.573603057151504,2.0118502977387345
27-08-26/0/map3-0.1-data-2026.08.27-16.18.55.666.jpk-force-map,16,3,0.1,20.0,2489.694732426684,2486.0195829800173,3.6751494466666372
27-08-26/0/map3-0.1-data-2026.08.27-16.18.55.666.jpk-force-map,16,3,0.1,50.0,539.3459203945359,542.7507002912189,-3.404779896682953
27-08-26/0/map3-0.1-data-2026.08.27-16.18.55.666.jpk-force-map,16,3,0.1,100.0,53.2295331412228,51.310695653605094,1.918837487617708
