block,nominal_speed_um_per_s,actual_gap_speed_um_per_s,pair_midpoint_acquisition_order,pair_center_time_epoch_s,pair_half_span_min,baseline_method,quantity,distance_nm,median_pN,q25_pN,q75_pN,paired_pixel_count,early_source,late_source
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,70.0,45.24852245786307,36.93070890442362,55.423740879223594,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,70.0,-15.058680301744518,-19.476240991957198,-8.164043157204762,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,75.0,33.5518496469863,23.672877253562913,43.95682972628451,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,75.0,-11.83922506769925,-15.786146616684357,-5.137625853681017,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,80.0,25.542056779092803,15.296909585354472,34.626319223525904,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,80.0,-9.451022460728545,-15.218564673506437,-3.8410308761471397,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,85.0,19.200202009346693,9.952374989338624,27.34528421730697,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,85.0,-7.4820415710119725,-14.359654464010351,-1.2256508207840437,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,90.0,16.086747871052083,6.17482089588518,24.479215039827906,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,90.0,-5.215611674812804,-10.98422659456014,0.3187814241013095,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,95.0,13.232892144596118,2.941681324493705,20.283410026679178,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,95.0,-4.01059760559184,-11.607000620628874,0.2495131249557252,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,100.0,11.330244326053098,1.9828534892098213,18.51189327092534,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,100.0,-4.26488249761925,-9.77807594235099,0.39421603627702595,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,105.0,10.827140276393566,1.0223065539808431,16.55587025333657,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
