block,baseline_method,distance_nm,low_actual_speed_um_per_s,high_actual_speed_um_per_s,speed_slope_median_pN_per_um_s,speed_slope_q25_pN_per_um_s,speed_slope_q75_pN_per_um_s,zero_speed_intercept_median_pN,zero_speed_intercept_q25_pN,zero_speed_intercept_q75_pN,mid_speed_residual_median_pN,mid_speed_residual_q25_pN,mid_speed_residual_q75_pN,mid_speed_pair_present,mid_speed_pixel_count,paired_pixel_count,theory_no_slip_hyd_slope_pN_per_um_s,observed_to_theory_slope_ratio
1,linear_drift_corrected,335.0,0.049361446369162475,0.19646557354775118,2.4314114832910656,-11.028524690892375,12.760182129374153,-0.014070694545493534,-1.8576053996826751,1.7205187679030518,-0.7252719656762933,-1.9015145152596622,1.6368670434728965,True,64,64,1.0244208569543556,2.3734498051120805
1,linear_drift_corrected,340.0,0.049361446369162475,0.19646557354775118,1.519827391857493,-8.074640250329677,8.737772032200894,0.0633777378172603,-1.9047451779354405,1.4969509358268906,-0.1754907006809514,-1.9465027522590517,0.9703196822295755,True,64,64,1.0093558443520856,1.5057399234985196
1,linear_drift_corrected,345.0,0.049361446369162475,0.19646557354775118,2.4053444322011983,-5.366301935421092,11.071227855456776,-0.04641224842632097,-1.3960921157612975,1.60697481887048,0.07150222182910498,-1.3617141795272467,1.5296768020026947,True,63,63,0.9947274987817655,2.418093834891469
1,linear_drift_corrected,350.0,0.049361446369162475,0.19646557354775118,5.886693691213189,-5.56732758837018,16.12991188151965,-0.5174557492309905,-1.9744993218485747,1.2861789139522537,0.7287018609971903,-0.8595695183868658,1.728695667255061,True,63,63,0.9805171059420259,6.003662409905214
1,linear_drift_corrected,355.0,0.049361446369162475,0.19646557354775118,2.707104632191062,-17.125345281834125,13.388344508482728,0.037559989145953765,-1.9882572525019173,2.11122915471943,0.5107866544664361,-0.4406702926100452,2.0557376228251547,True,62,62,0.9667070058583355,2.800336209198602
1,linear_drift_corrected,360.0,0.049361446369162475,0.19646557354775118,-2.361694086399951,-13.57987765975049,26.52626282308157,0.56568664191444,-2.115725663885266,2.745924198425873,0.7905478575799091,-0.8570422864491438,2.528452815322847,True,60,60,0.9532805196658586,-2.4774387367401216
1,linear_drift_corrected,365.0,0.049361446369162475,0.19646557354775118,6.805341576431921,6.5290138562066,7.0816692966572425,-1.5016751980939995,-1.8770200520302924,-1.1263303441577064,4.533891988202559,3.9142207784265244,5.153563197978593,True,2,2,0.9402218824101619,7.23801658283801
1,far_constant_referenced,5.0,0.049361446369162475,0.19646557354775118,229.01794255927615,-531.0798674200713,844.599683731487,5731.742101534783,5510.785293264339,5893.83640078577,-53.864095190280295,-156.0235922398158,56.20267269425062,True,64,64,68.63619741594182,3.336693336482583
1,far_constant_referenced,10.0,0.049361446369162475,0.19646557354775118,254.21062475659613,-499.26861817633835,697.8338451221503,3806.7437748989246,3637.8264458878903,3955.5622573595037,6.031689546322696,-43.18563334937198,62.34045092010183,True,64,64,34.31809870797091,7.407479852534831
1,far_constant_referenced,15.0,0.049361446369162475,0.19646557354775118,262.58269776013515,-256.8861701651988,601.4450342400585,2536.8258134768503,2431.5715508120365,2647.952908957135,0.735076969217971,-33.517427498548045,38.25416001440908,True,64,64,22.878732471980605,11.477152332705407
