map_count,parameter_count,design_rank,residual_df,unit_scaled_design_condition_number,speed_slope_pN_per_um_s,speed_slope_classical_SE_pN_per_um_s,speed_slope_HC3_SE_pN_per_um_s,speed_slope_HC3_95CI_low_pN_per_um_s,speed_slope_HC3_95CI_high_pN_per_um_s,residual_RMSE_pN,LOOCV_RMSE_pN,R_squared,AICc,fit_status,test,baseline_method,distance_nm,time_model,theory_no_slip_hyd_slope_pN_per_um_s,observed_to_theory_slope_ratio,time_coordinate,claim_status
17,3,3,14,1.072912957239902,-89.80447313928607,542.5950768701617,672.1740466076828,-1531.4744202666964,1351.8654739881242,140.26792856679577,167.83310787549686,0.9646681065435061,172.6263501517985,full_rank,map3_5_no_refresh,linear_drift_corrected,20.0,global_time_poly1,17.159049353985456,-5.23365084432417,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,6,6,11,1.276624646775796,53.926860441727854,127.03855427084456,194.6341336429319,-374.4599793519667,482.3137002354224,32.756243871284454,50.93589396070637,0.9957397599972561,131.6287750685176,full_rank,map3_5_no_refresh,far_constant_referenced,35.0,block_fixed_quadratic_within,9.80517105942026,5.499838821263393,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,3,3,14,1.072912957239902,87.73421279218667,137.33066150347312,151.4798926664084,-237.15784448581104,412.6262700701844,35.5017733093245,41.15792644275852,0.9906668782187772,125.91131161936798,full_rank,map3_5_no_refresh,far_constant_referenced,40.0,global_time_poly1,8.579524676992728,10.22599923600185,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,4,4,13,1.1210159228713044,88.36143144620092,140.46128754460548,206.1170111451968,-356.9272989953075,533.6501618877094,36.310137308797984,56.31334436709969,0.9909343710724917,128.90414243884484,full_rank,map3_5_no_refresh,far_constant_referenced,40.0,global_time_poly2,8.579524676992728,10.299105693250729,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,5,5,12,1.3889260164496977,17.524130226064344,60.35615505489794,88.48997789798993,-175.2789689147084,210.32722936683706,15.422490762491227,29.315028917319705,0.998490305449113,102.5514456786898,full_rank,map3_5_no_refresh,far_constant_referenced,40.0,global_time_poly3,8.579524676992728,2.042552575559099,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,6,6,11,2.1027706913146416,-33.29063565538708,55.63185433345248,66.13489648543401,-178.8525613834493,112.27129007267514,13.113340897728701,30.781971165143332,0.9989994974685753,100.50301622738601,full_rank,map3_5_no_refresh,far_constant_referenced,40.0,global_time_poly4,8.579524676992728,-3.880242427026391,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,7,7,10,3.0168438884889035,-18.47884782073799,51.26622292499389,77.66217106737737,-191.52094850390887,154.56325286243288,11.930020471594853,36.18566599283448,0.9992471972763699,101.71173454725887,full_rank,map3_5_no_refresh,far_constant_referenced,40.0,global_time_poly5,8.579524676992728,-2.1538311872092133,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,5,5,12,1.0908503246792092,79.53875914611359,130.4049143430313,155.45265667447148,-259.1634836214874,418.24100191371457,33.66752666142956,42.71656445996129,0.9928054692133924,129.0954799083428,full_rank,map3_5_no_refresh,far_constant_referenced,40.0,block_fixed_linear_within,8.579524676992728,9.27076523940873,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,6,6,11,1.276624646775796,65.69094561514578,108.69644991022665,161.54285761012255,-289.86248670212683,421.2443779324184,28.026825727340423,39.51279885570912,0.9954297567578045,126.32710463802015,full_rank,map3_5_no_refresh,far_constant_referenced,40.0,block_fixed_quadratic_within,8.579524676992728,7.656711541526983,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,3,3,14,1.072912957239902,85.16916964613495,138.98967065430483,156.43361768396448,-250.3475711051181,420.685910397388,35.93064888704413,40.83505193831422,0.9857086758907174,126.31958406509199,full_rank,map3_5_no_refresh,far_constant_referenced,45.0,global_time_poly1,7.626244157326869,11.167904920052838,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,4,4,13,1.1210159228713044,87.07490686920279,124.22156634428863,178.4232753692383,-298.38514482161185,472.5349585600174,32.11206596153908,49.1665046396826,0.9894002857179508,124.72672833068378,full_rank,map3_5_no_refresh,far_constant_referenced,45.0,global_time_poly2,7.626244157326869,11.417796896201663,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,5,5,12,1.3889260164496977,23.87341435663719,50.94893352924564,71.4775100771293,-131.86270163180833,179.60953034508273,13.018712938206052,23.43541932681005,0.9983918310965813,96.79051614552799,full_rank,map3_5_no_refresh,far_constant_referenced,45.0,global_time_poly3,7.626244157326869,3.1304288014042863,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,6,6,11,2.1027706913146416,-20.74432959516527,45.9711995423306,53.460229754547306,-138.40950193954882,96.92084274921827,10.836166047292696,19.656523703321202,0.9989786883170817,94.01782721299604,full_rank,map3_5_no_refresh,far_constant_referenced,45.0,global_time_poly4,7.626244157326869,-2.7201239780967774,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,7,7,10,3.0168438884889035,-11.767006577784471,45.46998924942487,66.53081477204027,-160.00689982425024,136.47288666868133,10.581195017672568,22.33365479623621,0.9991147136873649,97.63242877958876,full_rank,map3_5_no_refresh,far_constant_referenced,45.0,global_time_poly5,7.626244157326869,-1.542962215087146,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,5,5,12,1.0908503246792092,77.63081658115237,113.29720087470625,134.27531587825717,-214.92996436150236,370.1915975238071,29.250711526719034,36.148729645881936,0.9918816377181845,124.31406422076687,full_rank,map3_5_no_refresh,far_constant_referenced,45.0,block_fixed_linear_within,7.626244157326869,10.179429740204295,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,6,6,11,1.276624646775796,68.36314427741172,104.8837737338543,144.4308466231069,-249.52700579826308,386.2532943530865,27.043746603429526,34.89501723957513,0.9936387756414019,125.11308996806889,full_rank,map3_5_no_refresh,far_constant_referenced,45.0,block_fixed_quadratic_within,7.626244157326869,8.964195594463394,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,3,3,14,1.072912957239902,84.70288458555098,139.62262134234152,163.3603018832294,-265.67011622768996,435.0758853987919,36.09427492362367,40.90395706931885,0.9781930451163451,126.47406655588034,full_rank,map3_5_no_refresh,far_constant_referenced,50.0,global_time_poly1,6.8636197415941815,12.340847508238769,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,4,4,13,1.1210159228713044,87.37166400685709,102.25343674159491,147.47698503875907,-231.2329920202477,405.9763200339619,26.433164562903045,40.68345549908023,0.9891399451869717,118.10990703783825,full_rank,map3_5_no_refresh,far_constant_referenced,50.0,global_time_poly2,6.8636197415941815,12.729677239748085,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,5,5,12,1.3889260164496977,35.993677192739796,44.74122858247112,67.4917530113513,-111.05822016486704,183.04557455034663,11.432490752402122,21.85434373361345,0.9981247753248383,92.37295015252734,full_rank,map3_5_no_refresh,far_constant_referenced,50.0,global_time_poly3,6.8636197415941815,5.244124608858315,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,6,6,11,2.1027706913146416,-6.897886731398412,37.999871706356785,43.711009499931556,-103.10516997299257,89.30939651019574,8.957193279386551,17.680690301062693,0.9989448190989992,87.54312833535761,full_rank,map3_5_no_refresh,far_constant_referenced,50.0,global_time_poly4,6.8636197415941815,-1.0049925536516204,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,7,7,10,3.0168438884889035,0.3459881955618833,37.721275980037234,57.722305499777235,-128.26732331348123,128.959299704605,8.778013455661206,24.486749776829836,0.9990787386955905,91.28026839747017,full_rank,map3_5_no_refresh,far_constant_referenced,50.0,global_time_poly5,6.8636197415941815,0.050408998252796884,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
17,5,5,12,1.0908503246792092,78.64489875195207,100.06868032866215,119.71414412843167,-182.18981436725036,339.4796118711545,25.83541410162619,31.6277101864094,0.9904235963051674,120.09270212276202,full_rank,map3_5_no_refresh,far_constant_referenced,50.0,block_fixed_linear_within,6.8636197415941815,11.458224918166223,protocol_midpoint_estimate elapsed minutes,map_level_time_adjusted_sensitivity; sequential_not_randomized
