block,speed_um_per_s,distance_nm,early_map_order,late_map_order,early_scan_number,late_scan_number,pair_center_time,early_late_separation_min,pixelwise_pairing_permitted,early_force_pN,late_force_pN,pair_mean_force_pN,history_half_difference_pN,history_half_difference_absolute_pN,early_gap_speed_um_per_s,late_gap_speed_um_per_s,pair_mean_gap_speed_um_per_s,pair_gap_speed_over_nominal
2,0.1,300.0,9,10,17,18,2026-09-16T10:39:00.000750+02:00,6.237358333333333,True,-1.1880930126907188,4.072223047110363,1.442065017209822,2.630158029900541,2.630158029900541,0.09949901468444487,0.09955989238964993,0.0995294535370474,0.995294535370474
2,0.2,5.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,1056.2921339262625,929.364653685373,992.8283938058178,-63.463740120444754,63.463740120444754,0.06025566507804267,0.06406236632720272,0.062159015702622694,0.31079507851311344
2,0.2,10.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,939.0970038142965,980.6366360643966,959.8668199393466,20.769816125050056,20.769816125050056,0.08934425961089891,0.09251007691564087,0.09092716826326988,0.4546358413163494
2,0.2,15.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,859.5144016952701,844.4934630447419,852.0039323700059,-7.510469325264069,7.510469325264069,0.16951047772128677,0.16534289575441732,0.16742668673785205,0.8371334336892602
2,0.2,20.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,685.5220988719711,664.8884834251669,675.205291148569,-10.316807723402121,10.316807723402121,0.17017315617114998,0.16946402072563949,0.16981858844839473,0.8490929422419736
2,0.2,25.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,539.2822111944404,546.4757592152447,542.8789852048426,3.5967740104021573,3.5967740104021573,0.17436865412598568,0.17488433656312646,0.17462649534455607,0.8731324767227803
2,0.2,30.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,440.36929480482803,448.207771289956,444.288533047392,3.919238242563978,3.919238242563978,0.179658917002892,0.18096711930481552,0.18031301815385375,0.9015650907692687
2,0.2,35.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,369.2799831114062,366.09448727536125,367.6872351933837,-1.592747918022468,1.592747918022468,0.18462883030845012,0.18543413636571968,0.1850314833370849,0.9251574166854245
2,0.2,40.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,297.81411950914946,318.1521309747141,307.9831252419318,10.169005732782324,10.169005732782324,0.18789774001594828,0.18778694080066385,0.18784234040830605,0.9392117020415303
2,0.2,45.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,259.45650905633124,258.312321679876,258.88441536810365,-0.5720936882276249,0.5720936882276249,0.18997294564044453,0.18990925507416564,0.1899411003573051,0.9497055017865255
