block,distance_nm,speed_um_per_s,pair_mean_force_pN,double_centered_interaction_pN,pair_mean_gap_speed_um_per_s,gap_speed_over_nominal,additive_null_prediction_pN,theoretical_no_slip_prediction_pN,fitted_v_over_D_prediction_pN,shifted_v_over_D_prediction_pN,velocity_power_over_D_prediction_pN,empirical_power_shift_prediction_pN,actual_gap_theoretical_no_slip_prediction_pN,actual_gap_fitted_prediction_pN,actual_gap_shifted_prediction_pN
1,50.0,0.2,218.50455424151124,-5.92453125349499,0.1911353053599819,0.9556765267999096,-0.0,-71.16864099976884,-7.387551176366812,-9.9650640396717,-5.864953939935373,-7.982147833977786,-68.04789495401468,-8.762627985866311,-10.006887807383192
1,50.0,0.4,349.36595971811084,45.83369785028614,0.3781476112115735,0.9453690280289336,0.0,355.843204998844,36.937755881834036,49.82532019835846,36.43022347426092,49.141254418225294,341.16895668186464,43.93283068858462,50.294196819309114
1,55.0,0.1,112.47214616960153,-34.64636033847421,0.09704636207263671,0.970463620726367,-0.0,-208.36366810313558,-21.628869678885998,-31.546063440160935,-22.3718325489515,-32.56918849266204,-208.70885886073125,-26.875748159251003,-31.828774397130292
1,55.0,0.2,188.99479799974554,-3.6030213259883226,0.1932273477726561,0.9661367388632804,-0.0,-52.09091702578391,-5.407217419721501,-7.886515860040237,-4.292773119641421,-6.316271147649588,-49.07405216587944,-6.319338212874848,-7.455198726771982
1,55.0,0.4,309.9503773630149,38.24938166446262,0.3810561706759736,0.9526404266899339,0.0,260.4545851289194,27.03608709860749,39.43257930020116,26.664605668592923,38.88545964031165,257.7829110266104,33.195086372125814,39.28397312390241
1,60.0,0.1,89.30039235378825,-26.647075400530127,0.09776708698854068,0.9776708698854067,-0.0,-144.77125485651925,-15.027757156734973,-24.300312191702876,-15.543968394473135,-25.083930091595462,-154.35449783555882,-19.876456771987346,-24.541649740198647
1,60.0,0.2,152.7936053152839,-8.633175256692596,0.1941287964592514,0.970643982296257,-0.0,-36.19281371412983,-3.7569392891837445,-6.075078047925721,-2.9826224360631275,-4.86462547087718,-39.64440405045947,-5.105068491101835,-6.255418922592717
1,60.0,0.4,275.8102076020177,35.28025065722275,0.38507787030102353,0.9626946757525587,0.0,180.964068570649,18.784696445918712,30.375390239628587,18.526590830536268,29.94855556247266,193.99890188601705,24.981525263089026,30.797068662791546
1,65.0,0.1,73.78599897784153,-19.815679444964246,0.0981783793339325,0.981783793339325,-0.0,-90.96228980169006,-9.44220040722257,-17.929481758855363,-9.766544879145295,-18.503116996092267,-104.34323514004416,-13.43643257431929,-17.661447979888667
1,65.0,0.2,135.0684240521312,-4.012567188332696,0.1948527361739379,0.9742636808696894,-0.0,-22.740572450422526,-2.3605501018056434,-4.4823704397138435,-1.8740333961122648,-3.588382438522645,-27.007479463245545,-3.477793038745321,-4.512254417828043
1,65.0,0.4,242.01241424657934,23.82824663329697,0.386168473088444,0.9654211827211099,0.0,113.70286225211255,11.80275050902821,22.411852198569203,11.640578275257562,22.091499434614924,131.35071460328916,16.91422561306454,22.173702397716895
1,70.0,0.1,64.32963722104209,-13.91344293001319,0.09846932241396872,0.9846932241396872,-0.0,-44.84031975469353,-4.65458033621193,-12.284125568784942,-4.814467580292849,-12.67216213277122,-62.977952626964694,-8.10976402068769,-11.912764365006804
1,70.0,0.2,124.65472454030592,0.9323315715925133,0.19538589844119064,0.9769294922059532,-0.0,-11.210079938673386,-1.1636450840529828,-3.071031392196237,-0.9238142190115238,-2.457562369894295,-17.99405183430457,-2.3171206440546,-3.276789708912477
1,70.0,0.4,215.80668069995255,12.98111135842069,0.38821085600522653,0.9705271400130663,0.0,56.0503996933669,5.818225420264911,15.355156960981173,5.738281799304374,15.129724502665525,80.97200446126831,10.426884664742166,15.189554073919442
