model,coefficient_pN_nm_per_um_s_to_alpha,velocity_exponent_alpha,distance_shift_D0_nm,parameter_count,interaction_rms_pN,residual_rmse_pN,normalized_rmse,optimizer_success,optimizer_nfev,optimizer_message,jacobian_rank,jacobian_condition,fit_range,minimum_distance_nm,maximum_distance_nm,scope,blocks,glycerol_mass_fraction_assumed,temperature_C_assumed,probe_radius_um_assumed,viscosity_mPa_s_assumed,theoretical_no_slip_coefficient_pN_nm_per_um_s
empirical_power_shift,53220.9620310539,0.6416794167835862,17.19681796013577,3,39.741406360172135,3.018286435079228,0.07594815361401203,True,9,`ftol` termination condition is satisfied.,3,44636.32491527673,sensitivity_20_250,20.0,250.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_theoretical_no_slip,314782.4455707509,1.0,0.0,0,39.741406360172135,278.2688465409825,7.001987901964555,True,0,fixed campaign-assumption coefficient with measured U_gap(D),0,nan,sensitivity_20_250,20.0,250.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_fitted,39095.58378864678,1.0,0.0,1,39.741406360172135,4.754485212191201,0.11963555514623232,True,0,closed form,1,1.0,sensitivity_20_250,20.0,250.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_shifted,49610.2304557573,1.0,6.112157462627448,2,39.741406360172135,3.665692698723447,0.09223862551570683,True,7,`ftol` termination condition is satisfied.,2,5916.469209903708,sensitivity_20_250,20.0,250.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
additive_null,0.0,1.0,0.0,0,42.05731232690189,42.05731232690189,1.0,True,0,closed form,0,nan,sensitivity_20_250,20.0,250.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
theoretical_no_slip,314782.4455707509,1.0,0.0,0,42.05731232690189,343.46777053253834,8.166660005823525,True,0,fixed campaign-assumption coefficient,0,nan,sensitivity_20_250,20.0,250.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
fitted_v_over_D,33805.23275747226,1.0,0.0,1,42.05731232690189,7.878502727890746,0.1873277746959421,True,0,closed form,1,1.0,sensitivity_20_250,20.0,250.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
shifted_v_over_D,62227.725320215766,1.0,18.14269182998877,2,42.05731232690189,3.906447099262184,0.09288389778448662,True,11,`ftol` termination condition is satisfied.,2,6850.996526378521,sensitivity_20_250,20.0,250.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
velocity_power_over_D,31543.39402756371,0.7696459545500594,0.0,2,42.05731232690189,7.695921560406778,0.1829865280165346,True,16,`xtol` termination condition is satisfied.,2,10276.079897596615,sensitivity_20_250,20.0,250.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
empirical_power_shift,58065.09008720116,0.7749979749294739,18.110196717831982,3,42.05731232690189,3.532281186515045,0.08398732565360881,True,12,`ftol` termination condition is satisfied.,3,61974.261810604796,sensitivity_20_250,20.0,250.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_theoretical_no_slip,314782.4455707509,1.0,0.0,0,42.05731232690189,275.77661748182794,6.557162172853064,True,0,fixed campaign-assumption coefficient with measured U_gap(D),0,nan,sensitivity_20_250,20.0,250.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_fitted,41383.2881070701,1.0,0.0,1,42.05731232690189,5.190753140753686,0.12342094284121503,True,0,closed form,1,1.0,sensitivity_20_250,20.0,250.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_shifted,53900.94462407663,1.0,6.8413778216529275,2,42.05731232690189,3.788295893172652,0.0900746073293294,True,15,`ftol` termination condition is satisfied.,2,6351.206532347418,sensitivity_20_250,20.0,250.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
