model,coefficient_pN_nm_per_um_s_to_alpha,velocity_exponent_alpha,distance_shift_D0_nm,parameter_count,interaction_rms_pN,residual_rmse_pN,normalized_rmse,optimizer_success,optimizer_nfev,optimizer_message,jacobian_rank,jacobian_condition,fit_range,minimum_distance_nm,maximum_distance_nm,scope,blocks,glycerol_mass_fraction_assumed,temperature_C_assumed,probe_radius_um_assumed,viscosity_mPa_s_assumed,theoretical_no_slip_coefficient_pN_nm_per_um_s
actual_gap_theoretical_no_slip,314782.4455707509,1.0,0.0,0,40.361046472026445,288.26408674782016,7.1421360927202695,True,0,fixed campaign-assumption coefficient with measured U_gap(D),0,nan,primary_20_200,20.0,200.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_fitted,38432.97688984807,1.0,0.0,1,40.361046472026445,4.715612665061838,0.11683573834811614,True,0,closed form,1,1.0,primary_20_200,20.0,200.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_shifted,49082.43506587595,1.0,5.8771608486184865,2,40.361046472026445,3.686297727287626,0.09133305623883009,True,9,`ftol` termination condition is satisfied.,2,6681.675551037697,primary_20_200,20.0,200.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
additive_null,0.0,1.0,0.0,0,42.54446376537132,42.54446376537132,1.0,True,0,closed form,0,nan,primary_20_200,20.0,200.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
theoretical_no_slip,314782.4455707509,1.0,0.0,0,42.54446376537132,361.3830832162086,8.494244638014525,True,0,fixed campaign-assumption coefficient,0,nan,primary_20_200,20.0,200.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
fitted_v_over_D,32675.506984647578,1.0,0.0,1,42.54446376537132,7.664475361366492,0.18015212046472948,True,0,closed form,1,1.0,primary_20_200,20.0,200.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
shifted_v_over_D,61584.486846995314,1.0,17.816080257521136,2,42.54446376537132,3.842183895561262,0.09030984423145022,True,8,`ftol` termination condition is satisfied.,2,7878.960327465126,primary_20_200,20.0,200.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
velocity_power_over_D,30519.922045676005,0.7759636984232197,0.0,2,42.54446376537132,7.4825745520462,0.17587657452475813,True,11,`ftol` termination condition is satisfied.,2,10468.037484754528,primary_20_200,20.0,200.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
empirical_power_shift,57512.33569234386,0.7839002643276314,17.7607634759513,3,42.54446376537132,3.484296961233976,0.08189777594681985,True,14,`ftol` termination condition is satisfied.,3,69486.51156519257,primary_20_200,20.0,200.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_theoretical_no_slip,314782.4455707509,1.0,0.0,0,42.54446376537132,285.8966135348841,6.719948689718522,True,0,fixed campaign-assumption coefficient with measured U_gap(D),0,nan,primary_20_200,20.0,200.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_fitted,40535.0006621324,1.0,0.0,1,42.54446376537132,4.993904027006427,0.11738081961844281,True,0,closed form,1,1.0,primary_20_200,20.0,200.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_shifted,52803.45248504745,1.0,6.3868543168664695,2,42.54446376537132,3.697806044487556,0.0869162687037403,True,13,`ftol` termination condition is satisfied.,2,7154.595310260527,primary_20_200,20.0,200.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
additive_null,0.0,1.0,0.0,0,34.66224676249186,34.66224676249186,1.0,True,0,closed form,0,nan,sensitivity_30_200,30.0,200.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
theoretical_no_slip,314782.4455707509,1.0,0.0,0,34.66224676249186,240.580059575279,6.940694330167066,True,0,fixed campaign-assumption coefficient,0,nan,sensitivity_30_200,30.0,200.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
fitted_v_over_D,39333.29705146837,1.0,0.0,1,34.66224676249186,4.659400490096434,0.1344229219191408,True,0,closed form,1,1.0,sensitivity_30_200,30.0,200.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
shifted_v_over_D,63569.75689710262,1.0,17.192461242381437,2,34.66224676249186,3.0422604300988096,0.0877687026736781,True,9,`ftol` termination condition is satisfied.,2,7779.745278518829,sensitivity_30_200,30.0,200.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
velocity_power_over_D,36583.48836479202,0.7458573013138114,0.0,2,34.66224676249186,4.393429818684907,0.1267497127000738,True,16,`xtol` termination condition is satisfied.,2,9803.525898533671,sensitivity_30_200,30.0,200.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
empirical_power_shift,59113.77966062843,0.7449017002402842,17.188637250988528,3,34.66224676249186,2.6082920728518313,0.07524878842170939,True,16,`ftol` termination condition is satisfied.,3,68013.01000162866,sensitivity_30_200,30.0,200.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_theoretical_no_slip,314782.4455707509,1.0,0.0,0,34.66224676249186,205.00020219532297,5.914221417901692,True,0,fixed campaign-assumption coefficient with measured U_gap(D),0,nan,sensitivity_30_200,30.0,200.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_fitted,45343.790666033885,1.0,0.0,1,34.66224676249186,3.4040050182771164,0.0982049733129418,True,0,closed form,1,1.0,sensitivity_30_200,30.0,200.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_shifted,55242.074764636396,1.0,6.312531160960978,2,34.66224676249186,2.9575920655743775,0.08532603457127304,True,12,`ftol` termination condition is satisfied.,2,6913.476493775535,sensitivity_30_200,30.0,200.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
additive_null,0.0,1.0,0.0,0,33.759499874712006,33.759499874712006,1.0,True,0,closed form,0,nan,sensitivity_30_200,30.0,200.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
theoretical_no_slip,314782.4455707509,1.0,0.0,0,33.759499874712006,241.41610939875403,7.151057044526596,True,0,fixed campaign-assumption coefficient,0,nan,sensitivity_30_200,30.0,200.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
fitted_v_over_D,38365.25013416653,1.0,0.0,1,33.759499874712006,4.159207824922468,0.12320110903177145,True,0,closed form,1,1.0,sensitivity_30_200,30.0,200.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
shifted_v_over_D,57094.539359576185,1.0,13.812085426160335,2,33.759499874712006,2.9796257149857794,0.08826036303984784,True,9,`ftol` termination condition is satisfied.,2,7167.517402894919,sensitivity_30_200,30.0,200.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
velocity_power_over_D,38426.79653842858,1.0037910943620125,0.0,2,33.759499874712006,4.1591508443684635,0.12319942119414896,True,7,`ftol` termination condition is satisfied.,2,46970.56091317312,sensitivity_30_200,30.0,200.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
empirical_power_shift,56965.53709835793,0.9943942111325503,13.815548868579556,3,33.759499874712006,2.979450064619972,0.0882551600490909,True,17,`ftol` termination condition is satisfied.,3,142434.11506984688,sensitivity_30_200,30.0,200.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_theoretical_no_slip,314782.4455707509,1.0,0.0,0,33.759499874712006,205.94911317142788,6.100478796657078,True,0,fixed campaign-assumption coefficient with measured U_gap(D),0,nan,sensitivity_30_200,30.0,200.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_fitted,44159.73696778969,1.0,0.0,1,33.759499874712006,3.2549824871208877,0.09641678636237958,True,0,closed form,1,1.0,sensitivity_30_200,30.0,200.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_shifted,50777.603625571785,1.0,4.368442794230592,2,33.759499874712006,3.034425584047067,0.0898836059570907,True,10,`ftol` termination condition is satisfied.,2,6534.31462465871,sensitivity_30_200,30.0,200.0,block_2,2,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
additive_null,0.0,1.0,0.0,0,31.208494416180837,31.208494416180837,1.0,True,0,closed form,0,nan,sensitivity_30_200,30.0,200.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
theoretical_no_slip,314782.4455707509,1.0,0.0,0,31.208494416180837,244.14294291524985,7.822964467926006,True,0,fixed campaign-assumption coefficient,0,nan,sensitivity_30_200,30.0,200.0,block_3,3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
