acquisition_order,instrument_scan_number,block,position_in_block,map_midpoint_time,elapsed_midpoint_min,speed_um_per_s,distance_nm,available_pixels,map_median_force_pN,map_force_q25_pN,map_force_q75_pN,map_force_spatial_mad_pN,available_gap_speed_pixels,map_median_gap_speed_um_per_s,map_gap_speed_q25_um_per_s,map_gap_speed_q75_um_per_s,map_gap_speed_spatial_mad_um_per_s
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,70.0,63,65.91457561290285,56.57333728697699,83.1023682701842,21.216953299271882,63,0.0984347827801004,0.09791844448925847,0.09891590333932274,0.0007371690350099694
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,75.0,63,52.59655145108511,38.29456935916876,65.90529738742589,20.270078580757513,63,0.09850880135198359,0.09788609420040399,0.09916439509794339,0.0009597409124448118
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,80.0,63,48.7799668173331,32.78837326318736,69.76118384994697,29.633426700516335,63,0.0988587130921288,0.09819505558654251,0.09954062674128322,0.0009955559172600418
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,85.0,63,37.884420953516205,21.664359923330192,51.505039540424804,23.937270933220624,63,0.09883948558481187,0.09811256012330832,0.09931884439170377,0.0009215507979181411
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,90.0,63,31.597935980437875,16.423108710400296,45.125391015643714,21.904706278967847,63,0.0988565450698293,0.09823306297344048,0.09971964607184236,0.0010069167425546045
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,95.0,63,24.23325624529013,11.035481839837857,32.66227695378152,18.673389521102614,63,0.09911446235045576,0.09853936852944652,0.09983704508333717,0.0010457907863472107
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,100.0,63,19.29563037139202,3.5967881325102447,34.78806386816765,23.54109272201336,63,0.09951761134870563,0.0987895741965383,0.09991798231086653,0.0008418857594131768
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,105.0,63,16.228788493419177,3.300040260458906,31.242200059961103,21.760614827242506,63,0.0994618973206828,0.09879914545578486,0.10029393993746546,0.0011308402112156627
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,110.0,63,10.99846779269345,1.46231612121751,28.8422465254834,21.623474605097933,63,0.09949159411249156,0.09879632776287597,0.09999377342875013,0.0008659921820901604
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,115.0,63,17.08023867672023,-0.5292683933150559,28.191513874446237,19.29590144244603,63,0.0993134020148731,0.0985515339995526,0.1000493257001168,0.001096738897724094
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,120.0,63,7.472290204144654,-12.36359556120265,19.38013707040522,24.974930385050307,63,0.09938395326594172,0.0988653641782735,0.10010972687890524,0.0009000442591592562
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,125.0,63,6.503965448479226,-8.464919109042057,21.085339340740113,21.920199983453934,63,0.09991501242151454,0.09891803862227869,0.10026032427856882,0.0008920369732480536
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,130.0,63,4.4702123170926065,-10.95334765510301,15.838312185313733,22.613145447898,63,0.09970936310365777,0.09910886857581332,0.10028723369028227,0.0008793917207580773
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,135.0,63,7.235151753305027,-5.668148439610792,24.045234488830012,21.402249629956682,63,0.09963286088812599,0.09913482553233777,0.10025512399888639,0.0008563484643582931
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,140.0,63,0.6478658629521976,-9.966551181137035,15.505708279039691,20.39541008759108,63,0.0994414630343124,0.09890038072820541,0.10028889076162709,0.0009679868275701553
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,145.0,63,5.8838918956294055,-8.32379687588065,22.131180351566456,22.91502143612299,63,0.09965777414271046,0.09904832319498562,0.10029879618435619,0.0009676580436514474
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,150.0,63,2.4282966068244507,-15.069575193208944,16.05635754506597,21.086596807199978,63,0.09969936624330417,0.09903781518408174,0.10030986659540185,0.0009369944591958871
